code,gndr,niveau_sekI,parental_edu,grade7,grade8,grade9,t4_2014,t4_2015,t5_2016,t6_2017,t7_2018
011SZ13,2,2,0,2,2,99,99,99,99,99,99
011SZ14,2,2,1,2,2,2,99,99,99,99,99
011SZ15,1,2,1,2,2,2,99,99,99,99,99
011SZ16,2,2,1,2,2,2,5,5,5,8,8
011TG01,2,1,1,1,1,1,7,7,7,99,8
011TG02,1,1,,1,1,1,7,5,5,5,8
011TG03,,1,,1,1,99,99,99,99,99,99
011TG04,1,1,,1,1,1,5,5,5,9,9
011TG05,2,1,1,1,1,1,5,5,99,99,99
011TG06,1,2,,2,1,1,99,99,99,99,99
011TG07,2,1,0,1,1,1,99,99,99,99,99
011TG08,2,1,1,1,1,1,99,99,99,99,99
011TG09,2,1,1,1,1,1,7,5,5,5,8
011TG10,1,1,0,1,1,1,5,5,5,8,8
011TG11,1,1,,1,1,1,99,99,5,8,99
011TG12,1,1,0,1,1,1,5,5,5,5,99
011TG13,1,1,0,1,1,1,99,99,99,99,99
011TG14,1,1,0,1,1,1,7,5,5,8,99
011TG15,2,1,0,1,1,1,5,5,5,8,8
011TG16,1,1,0,1,1,1,99,99,99,99,99
011TG18,1,.m,,99,1,1,99,99,99,99,99
011VS01,1,1,1,1,1,1,5,5,5,99,99
011VS02,2,1,0,1,1,1,99,99,99,99,99
011VS03,1,1,,1,1,1,98,5,98,99,99
011VS04,1,1,,1,1,1,5,7,8,6,6
011VS05,2,1,1,1,1,1,99,99,5,5,8
011VS07,1,1,,1,1,1,7,5,7,10,10
011VS08,2,1,,1,1,1,5,5,98,99,99
011VS09,1,1,0,1,1,1,99,99,99,99,99
011VS10,1,1,0,1,1,1,5,5,5,99,99
011VS11,2,1,0,1,1,1,5,5,5,7,99
011VS12,1,1,0,1,1,1,5,5,99,99,99
011VS13,2,1,0,1,1,1,5,5,5,8,8
011VS14,2,1,,1,1,1,99,99,99,99,99
011VS15,1,1,1,1,1,1,5,5,5,8,8
011VS16,2,1,,1,1,1,5,5,5,5,8
011ZG01,1,1,0,1,1,1,5,5,99,99,99
011ZG02,1,1,0,1,1,1,5,5,5,7,7
011ZG03,2,1,0,1,1,1,99,99,99,99,99
011ZG04,1,1,0,1,1,99,99,99,99,99,99
011ZG05,1,1,0,1,1,1,99,99,5,5,8
011ZG06,1,1,,1,1,1,99,99,99,99,99
011ZG07,1,1,1,1,1,1,7,7,99,99,99
011ZG08,1,1,,1,1,1,99,99,99,99,99
012SG01,2,2,0,2,2,2,5,5,5,8,8
012SG02,1,2,,2,2,2,5,5,5,5,8
012SG03,2,2,1,2,2,2,5,5,5,8,10
012SG04,2,2,1,2,2,99,99,99,99,99,99
012SG05,1,2,0,2,2,3,6,6,6,11,11
012SG06,1,2,0,2,2,2,99,99,99,99,99
